Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Armenia,Passenger Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,42.41,45.48,45.43,45.28,45.71,43.44,50.52,46.96,46.83,46.56,46.23,46.55,46.18,46.69,46.68
Armenia,Passenger Cars,,Average Price,Large Cars,thousand USD (US$),Statista Market Insights,,34.14,33.28,32.19,31.64,30.96,30.91,36.25,33.74,34.57,34.31,34.16,34.29,33.94,34.4,34.22
Armenia,Passenger Cars,,Average Price,Luxury Cars,thousand USD (US$),Statista Market Insights,,261.3,276.9,282.3,286.9,290.8,256.5,301.9,284,291.9,292.4,284.4,287.7,283.9,289.8,291.5
Armenia,Passenger Cars,,Average Price,Medium Cars,thousand USD (US$),Statista Market Insights,,25.55,25.08,24.49,24.25,24.16,23.53,28.03,25.97,26.36,26.46,26.41,26.47,26.17,26.48,26.44
Armenia,Passenger Cars,,Average Price,Mini Cars,thousand USD (US$),Statista Market Insights,,17.66,17.29,15.98,15.88,15.83,15.56,18.51,17.02,17.22,17.36,17.25,17.32,17.15,17.35,17.25
Armenia,Passenger Cars,,Average Price,Minivans,thousand USD (US$),Statista Market Insights,,24.1,23.88,23.72,23.86,24.09,22.66,26.87,24.96,25.4,25.5,25.31,25.45,25.33,25.51,25.4
Armenia,Passenger Cars,,Average Price,Pickup Trucks,thousand USD (US$),Statista Market Insights,,29.59,29.65,29.73,29.81,29.88,28.02,33.19,31.14,31.61,31.65,31.21,31.5,31.1,31.58,31.69
Armenia,Passenger Cars,,Average Price,Small Cars,thousand USD (US$),Statista Market Insights,,13.41,13.52,12.99,13.12,13.29,12.38,14.63,13.6,13.74,13.76,13.53,13.71,13.61,13.77,13.64
Armenia,Passenger Cars,,Average Price,Sports Cars,thousand USD (US$),Statista Market Insights,,26.49,27.11,27.41,27.6,27.75,25.16,29.75,27.88,28.43,28.26,27.75,28.07,27.59,28.11,28.2
Armenia,Passenger Cars,,Average Price,SUVs,thousand USD (US$),Statista Market Insights,,43.43,58.64,61.43,60.81,62.01,53.62,63.2,58.87,59.46,58.78,58.14,58.99,58.95,59.73,59.8
Armenia,Passenger Cars,,Revenue,Total,million USD (US$),Statista Market Insights,,135.2,129.4,115.4,94.59,80.08,47.44,90.78,56.03,81.9,119.9,130.7,146.1,136.3,128.1,118.3
Armenia,Passenger Cars,,Revenue,Large Cars,million USD (US$),Statista Market Insights,,7.37,6.56,5.63,4.75,3.99,2.29,4.46,2.73,4.08,5.94,6.39,7.13,6.69,6.3,5.82
Armenia,Passenger Cars,,Revenue,Luxury Cars,million USD (US$),Statista Market Insights,,42.07,26.58,23.71,19.8,16.57,12.31,22.34,13.92,19.27,28.07,31,33.95,31.23,29.27,27.11
Armenia,Passenger Cars,,Revenue,Medium Cars,million USD (US$),Statista Market Insights,,9.91,8.53,7.81,6.14,5.07,3.22,6.34,3.95,5.88,8.55,9.4,10.48,9.74,9.08,8.33
Armenia,Passenger Cars,,Revenue,Mini Cars,million USD (US$),Statista Market Insights,,2.69,2.39,2.52,2.08,1.79,0.96,1.89,1.21,1.79,2.53,2.71,3.1,2.9,2.74,2.55
Armenia,Passenger Cars,,Revenue,Minivans,million USD (US$),Statista Market Insights,,12.87,11.32,9.77,8.66,7.88,4.08,8.09,4.92,7.32,11.35,12.07,13.44,12.59,11.81,10.9
Armenia,Passenger Cars,,Revenue,Pickup Trucks,million USD (US$),Statista Market Insights,,1.07,0.95,0.83,0.69,0.57,0.34,0.66,0.4,0.6,0.89,0.94,1.07,1,0.95,0.86
Armenia,Passenger Cars,,Revenue,Small Cars,million USD (US$),Statista Market Insights,,6.27,5.36,4.76,3.75,2.94,1.94,3.75,2.34,3.55,5.12,5.68,6.32,5.89,5.59,5.1
Armenia,Passenger Cars,,Revenue,Sports Cars,million USD (US$),Statista Market Insights,,0.95,0.87,0.77,0.63,0.53,0.3,0.6,0.36,0.54,0.79,0.83,0.95,0.88,0.84,0.76
Armenia,Passenger Cars,,Revenue,SUVs,million USD (US$),Statista Market Insights,,52.03,66.85,59.59,48.1,40.74,21.99,42.66,26.2,38.89,56.66,61.68,69.67,65.37,61.53,56.87
Armenia,Passenger Cars,,Revenue by make,Bentley,percent,Statista Market Insights,,,,,,,,,,,36.35,,,,,
Armenia,Passenger Cars,,Revenue by make,Dacia,percent,Statista Market Insights,,,,,,,,,,,4.22,,,,,
Armenia,Passenger Cars,,Revenue by make,Honda,percent,Statista Market Insights,,,,,,,,,,,16.24,,,,,
Armenia,Passenger Cars,,Revenue by make,Hyundai,percent,Statista Market Insights,,,,,,,,,,,16.94,,,,,
Armenia,Passenger Cars,,Revenue by make,Land Rover,percent,Statista Market Insights,,,,,,,,,,,19.29,,,,,
Armenia,Passenger Cars,,Revenue by make,Mitsubishi,percent,Statista Market Insights,,,,,,,,,,,6.07,,,,,
Armenia,Passenger Cars,,Revenue by make,smart,percent,Statista Market Insights,,,,,,,,,,,0.89,,,,,
Armenia,Passenger Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,42.49,57.44,65.58,70.4,73.15,77.19,94.4,93.49,94.79,95.76,96.26,96.97,97.52,,99.37
Armenia,Passenger Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,57.51,42.56,34.42,29.6,26.85,22.81,5.6,6.51,5.21,4.24,3.74,3.03,2.48,,0.63
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Alternative,percent,Statista Market Insights,,,,,1.16,1.38,1.4,,,1.9,1.81,1.83,1.85,1.85,,1.65
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Diesel,percent,Statista Market Insights,,1.26,1.25,1.18,1.16,1.14,1.2,4.72,4.67,1.27,1.33,1.22,1.14,1.09,,0.87
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,1.26,1.25,2.61,2.47,5.66,4.99,5.88,6.26,4.44,5.67,7.35,10,13.81,,25.56
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.24,0.6,1.28,1.5,2.82,3.15,3.44,3.66,3.9,,4.17
Armenia,Passenger Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,97.48,97.51,96.2,95.2,91.57,91.82,88.12,87.57,89.57,88.04,86.17,83.35,79.35,,67.75
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,45.64,43.65,34.88,33.18,31.55,24.79,7.53,8.71,7.35,6.44,6.02,5.77,5.39,,4.58
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,44.21,46.38,47.11,47.63,46.96,50.52,77.76,76.61,74.36,74.1,72.5,70.68,69.15,,66.07
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,10.15,9.97,18.01,19.19,21.49,24.69,14.71,14.68,18.04,19.1,20.96,22.79,24.35,,27.06
Armenia,Passenger Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.25,0.36,0.52,0.76,1.1,,2.28
Armenia,Passenger Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,152.1,150.3,150.2,151.1,149.1,149.3,138.3,133.2,125.7,114.8,106.7,98.41,90.79,,77.78
Armenia,Passenger Cars,,Vehicle Sales,Total,vehicles,Statista Market Insights,,"3,189","2,845","2,540","2,089","1,752","1,092","1,797","1,193","1,749","2,575","2,827","3,139","2,951","2,744","2,534"
