Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Georgia,Mini Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,13.85,13.86,13.96,14.03,14.03,13.37,13.21,14.57,14.48,14.55,14.5,14.37,14.54,14.5,14.57
Georgia,Mini Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,1.75,1.69,1.68,1.61,1.56,0.64,0.91,0.8,1.09,1.54,1.62,1.72,1.7,1.65,1.65
Georgia,Mini Cars,,Revenue by make,Kia,million USD (US$),Statista Market Insights,,0.29,0.29,0.28,0.28,0.27,0.11,0.15,0.13,0.18,0.26,0.27,0.28,0.29,0.27,0.27
Georgia,Mini Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,0.38,0.35,0.32,0.3,0.28,0.13,0.18,0.15,0.23,0.32,0.34,0.37,0.36,0.35,0.34
Georgia,Mini Cars,,Revenue by make,Skoda,million USD (US$),Statista Market Insights,,0.3,0.3,0.3,0.29,0.27,0.11,0.16,0.14,0.19,0.26,0.29,0.31,0.3,0.29,0.29
Georgia,Mini Cars,,Revenue by make,Toyota,million USD (US$),Statista Market Insights,,0.77,0.76,0.77,0.75,0.74,0.29,0.41,0.37,0.48,0.69,0.72,0.77,0.76,0.74,0.75
Georgia,Mini Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,0,0,0,60,60.36,60.42,100,100,98.31,100,100,100,100,,100
Georgia,Mini Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,100,100,100,40,39.64,39.58,0,0,1.69,0,0,0,0,,0
Georgia,Mini Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,67.13,67.24,72.73,80,15.25,13.25,14.29,14.61,17.86,,22.22
Georgia,Mini Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,,,,,13.56,19.28,20.24,21.35,21.43,,23.61
Georgia,Mini Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,100,32.87,32.76,27.27,18.18,71.19,67.47,66.67,62.92,60.71,,54.17
Georgia,Mini Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,100,100,100,100,100,100,,,,,,,,,
Georgia,Mini Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,,,,,,,100,100,96.69,93.84,91.05,88.3,85.55,,79.75
Georgia,Mini Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,,,,,2.82,5.47,7.96,10.29,12.46,,16.27
Georgia,Mini Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.49,0.69,0.99,1.4,1.99,,3.98
Georgia,Mini Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,104.6,100.6,101.6,103.1,101.6,104.5,101.6,105.4,95.32,88.45,81.59,75.41,70.07,,60.45
Georgia,Mini Cars,,Vehicle Sales by make,Total,vehicles,Statista Market Insights,,126,122,120,115,111,48,69,55,75,106,112,120,117,114,113
Georgia,Mini Cars,,Vehicle Sales by make,Kia,vehicles,Statista Market Insights,,24,23,22,22,21,9,13,10,14,20,21,22,22,21,21
Georgia,Mini Cars,,Vehicle Sales by make,Nissan,vehicles,Statista Market Insights,,24,24,23,22,21,9,13,10,15,21,22,24,23,23,22
