Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Azerbaijan,Mini Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,13.91,13.79,13.73,13.84,14.07,12.95,14.29,13.92,13.7,14.09,14.06,14.17,14.09,14.19,14.3
Azerbaijan,Mini Cars,,Revenue by make,Total,million USD (US$),Statista Market Insights,,19.35,18.18,16.97,15.87,16.32,6.55,11.2,7.65,10.42,16.76,17.77,19.5,18.64,18.03,17.42
Azerbaijan,Mini Cars,,Revenue by make,Nissan,million USD (US$),Statista Market Insights,,1.75,1.6,1.46,1.35,1.29,0.59,0.98,0.67,0.92,1.38,1.48,1.65,1.54,1.48,1.41
Azerbaijan,Mini Cars,,Revenue by make,Renault,million USD (US$),Statista Market Insights,,5.09,4.77,4.42,3.9,3.44,1.61,2.88,1.96,2.6,3.92,4.19,4.63,4.4,4.24,4.11
Azerbaijan,Mini Cars,,Revenue by make,smart,million USD (US$),Statista Market Insights,,11.19,10.48,9.78,9.35,10.36,3.87,6.55,4.47,6.14,10.34,10.91,11.96,11.46,11.09,10.7
Azerbaijan,Mini Cars,,Revenue by make,Suzuki,million USD (US$),Statista Market Insights,,1.33,1.33,1.31,1.28,1.24,0.49,0.78,0.55,0.76,1.12,1.18,1.26,1.24,1.22,1.2
Azerbaijan,Mini Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,23.87,23.12,22.49,28.95,82.59,82.81,68.75,68.61,49.01,60.85,62.78,65.45,66.77,,75.12
Azerbaijan,Mini Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,76.13,76.88,77.51,71.05,17.41,17.19,31.25,31.39,50.99,39.15,37.22,34.55,33.23,,24.88
Azerbaijan,Mini Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,23.87,23.12,22.49,20.23,82.41,19.7,11.59,16.67,10.8,11.21,12.3,13.32,16.19,,25.27
Azerbaijan,Mini Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,,0.17,0.65,8.44,8.33,15.17,16.2,17.33,19.35,19.49,,20.11
Azerbaijan,Mini Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,76.13,76.88,77.51,79.77,17.41,32.9,34.62,32.93,59.77,56.39,53.93,51.05,48.13,,39.68
Azerbaijan,Mini Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,39.97,40.11,40.13,38.53,34.14,38.24,22.76,22.6,36.77,33.48,31.52,29.74,27.91,,24.78
Azerbaijan,Mini Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,60.03,59.89,59.87,61.47,65.86,61.76,77.24,77.4,60.68,61.67,61.53,61.34,61.32,,61.01
Azerbaijan,Mini Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,,,,,2.48,4.76,6.82,8.72,10.49,,13.65
Azerbaijan,Mini Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.07,0.09,0.14,0.2,0.28,,0.55
Azerbaijan,Mini Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,74.84,75.46,74.36,67.35,73.81,93.23,62.85,23.38,27.31,24.63,22.4,20.53,18.94,,16.2
