Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Turkey,Passenger Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,32.09,32.08,31.74,31.78,31.73,31.92,33.73,36.17,42.13,42.45,40.76,38.88,38.6,38.81,39
Turkey,Passenger Cars,,Average Price,Executive Cars,thousand USD (US$),Statista Market Insights,,53.84,53.84,53.84,53.84,53.84,53.84,57.37,61.68,71.83,72.28,69.39,66.02,65.56,65.87,66.31
Turkey,Passenger Cars,,Average Price,Full-Size Vans,thousand USD (US$),Statista Market Insights,,22.94,22.36,21.68,21,20.46,20.39,23.09,24.78,29,29.17,27.86,26.56,26.37,26.5,26.55
Turkey,Passenger Cars,,Average Price,Large Cars,thousand USD (US$),Statista Market Insights,,31.42,30.84,30.29,30.11,29.94,29.98,32.61,35.15,40.8,41.15,39.34,37.49,37.24,37.42,37.54
Turkey,Passenger Cars,,Average Price,Luxury Cars,thousand USD (US$),Statista Market Insights,,354.7,374.2,372.4,368.3,364.8,358.5,385.4,422.9,491,494.5,475.6,458.3,453.5,455.6,457.6
Turkey,Passenger Cars,,Average Price,Medium Cars,thousand USD (US$),Statista Market Insights,,22.49,22.37,22.43,22.47,22.43,22.37,23.78,25.67,29.85,30.14,28.91,27.61,27.42,27.56,27.69
Turkey,Passenger Cars,,Average Price,Mini Cars,thousand USD (US$),Statista Market Insights,,15.34,15.41,15.31,15.52,15.71,15.69,16.3,17.61,20.5,20.66,19.83,18.89,18.77,18.87,18.99
Turkey,Passenger Cars,,Average Price,Minivans,thousand USD (US$),Statista Market Insights,,25.55,25.5,25.38,25.3,25.14,25.08,26.89,29.04,33.72,33.99,32.61,31.06,30.86,31.02,31.18
Turkey,Passenger Cars,,Average Price,Pickup Trucks,thousand USD (US$),Statista Market Insights,,25.8,26.53,27.12,27.55,27.83,27.9,28.2,30.25,35.21,35.52,34.14,32.51,32.29,32.45,32.67
Turkey,Passenger Cars,,Average Price,Small Cars,thousand USD (US$),Statista Market Insights,,15.03,15.03,14.77,15.02,15.24,15.26,15.84,17.1,19.93,20.04,19.21,18.29,18.16,18.26,18.39
Turkey,Passenger Cars,,Average Price,Sports Cars,thousand USD (US$),Statista Market Insights,,76.94,77.45,77.99,78.38,78.8,79.83,83.95,88.61,103.5,104.6,100.4,95.33,94.47,94.94,95.65
Turkey,Passenger Cars,,Average Price,SUVs,thousand USD (US$),Statista Market Insights,,42.9,42.95,43.6,44.2,44.9,45.6,47.24,49.96,58.58,59.14,56.77,54.03,53.57,53.9,54.27
Turkey,Passenger Cars,,Revenue,Total,billion USD (US$),Statista Market Insights,,20.29,19.73,18.84,18.22,16.4,19.47,18.95,21.44,40.76,40.41,37.72,33.05,32.48,34.19,35.77
Turkey,Passenger Cars,,Revenue,Executive Cars,billion USD (US$),Statista Market Insights,,0.3,0.28,0.26,0.24,0.2,0.22,0.24,0.29,0.55,0.54,0.5,0.44,0.43,0.46,0.48
Turkey,Passenger Cars,,Revenue,Full-Size Vans,billion USD (US$),Statista Market Insights,,0.18,0.17,0.16,0.15,0.13,0.15,0.16,0.19,0.35,0.35,0.32,0.28,0.28,0.29,0.3
Turkey,Passenger Cars,,Revenue,Large Cars,billion USD (US$),Statista Market Insights,,1.15,1.06,0.95,0.89,0.76,0.87,0.94,1.13,2.1,2.08,1.92,1.69,1.67,1.75,1.83
Turkey,Passenger Cars,,Revenue,Luxury Cars,billion USD (US$),Statista Market Insights,,0.39,0.48,0.44,0.4,0.33,0.36,0.39,0.47,0.88,0.87,0.85,0.78,0.78,0.83,0.83
Turkey,Passenger Cars,,Revenue,Medium Cars,billion USD (US$),Statista Market Insights,,1.76,1.68,1.72,1.67,1.48,1.72,1.71,1.99,3.79,3.74,3.49,3.06,3.02,3.18,3.32
Turkey,Passenger Cars,,Revenue,Mini Cars,billion USD (US$),Statista Market Insights,,1.08,1.04,1.05,1.03,1,1.19,1.09,1.21,2.31,2.32,2.17,1.9,1.86,1.96,2.06
Turkey,Passenger Cars,,Revenue,Minivans,billion USD (US$),Statista Market Insights,,1.88,1.78,1.65,1.57,1.38,1.59,1.63,1.92,3.61,3.57,3.32,2.91,2.87,3.01,3.15
Turkey,Passenger Cars,,Revenue,Pickup Trucks,billion USD (US$),Statista Market Insights,,0.42,0.43,0.45,0.46,0.44,0.52,0.46,0.54,1.06,1.01,0.93,0.8,0.79,0.84,0.88
Turkey,Passenger Cars,,Revenue,Small Cars,billion USD (US$),Statista Market Insights,,1.76,1.83,1.81,1.84,1.72,2.08,1.9,2.05,3.93,3.92,3.65,3.17,3.09,3.26,3.44
Turkey,Passenger Cars,,Revenue,Sports Cars,billion USD (US$),Statista Market Insights,,3.8,3.79,3.72,3.69,3.35,4.11,3.84,4.1,7.86,7.8,7.25,6.3,6.11,6.44,6.78
Turkey,Passenger Cars,,Revenue,SUVs,billion USD (US$),Statista Market Insights,,7.58,7.19,6.64,6.28,5.61,6.65,6.59,7.55,14.33,14.23,13.31,11.73,11.58,12.17,12.71
Turkey,Passenger Cars,,Revenue by make,Ford,percent,Statista Market Insights,,,,,,,,,,,28.91,,,,,
Turkey,Passenger Cars,,Revenue by make,Hyundai,percent,Statista Market Insights,,,,,,,,,,,16.58,,,,,
Turkey,Passenger Cars,,Revenue by make,Lancia,percent,Statista Market Insights,,,,,,,,,,,5.44,,,,,
Turkey,Passenger Cars,,Revenue by make,Peugeot,percent,Statista Market Insights,,,,,,,,,,,11.97,,,,,
Turkey,Passenger Cars,,Revenue by make,Porsche,percent,Statista Market Insights,,,,,,,,,,,26.49,,,,,
Turkey,Passenger Cars,,Revenue by make,Rolls-Royce,percent,Statista Market Insights,,,,,,,,,,,1.97,,,,,
Turkey,Passenger Cars,,Revenue by make,smart,percent,Statista Market Insights,,,,,,,,,,,3.71,,,,,
Turkey,Passenger Cars,,Revenue by make,Suzuki,percent,Statista Market Insights,,,,,,,,,,,4.93,,,,,
Turkey,Passenger Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,47.9,61,71.68,76.5,92.01,94.54,97.27,97.35,98.88,100,100,100,100,100,100
Turkey,Passenger Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,52.1,39,28.32,23.5,7.99,5.46,2.73,2.65,1.12,0,0,0,0,0,0
Turkey,Passenger Cars,,Fuel or Drive-Type Share,Alternative,percent,Statista Market Insights,,,,,0.84,1.05,1.07,,,1.59,1.58,1.6,1.66,1.66,1.64,1.62
Turkey,Passenger Cars,,Fuel or Drive-Type Share,Diesel,percent,Statista Market Insights,,9.95,9.69,9.05,8.57,9.28,9.38,11.16,11.18,12.37,12.32,12.12,11.43,10.97,10.32,9.48
Turkey,Passenger Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,0.02,0.04,0.08,0.28,0.95,1.44,8.86,9.62,11.34,14.12,16.66,19.06,22.2
Turkey,Passenger Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,0.04,0.46,0.86,1.33,1.74,5.46,5.7,5.85,5.97,6.29,6.83,7.19
Turkey,Passenger Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,90.05,90.31,90.93,90.51,89.13,88.41,86.56,85.63,71.73,70.78,69.08,66.81,64.42,62.15,59.5
Turkey,Passenger Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,41.37,38.48,27.85,28.01,26.5,13.91,9.76,9.31,6.76,5.63,5.3,4.98,4.66,4.42,4.19
Turkey,Passenger Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,47.73,50.92,57.99,54.64,48.84,58.67,84.1,84.22,70.51,70.88,69.43,67.96,66.49,65.13,63.78
Turkey,Passenger Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,10.89,10.59,14.16,17.35,24.66,27.42,6.14,6.47,22.5,23.18,24.82,26.42,27.93,29.14,30.19
Turkey,Passenger Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.22,0.32,0.45,0.64,0.92,1.31,1.84
Turkey,Passenger Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,154.1,152.7,143.2,142.9,145.3,142.6,123,123.3,116,104.8,97.18,89.97,82.82,76.74,71.58
Turkey,Passenger Cars,,Vehicle Sales,Total,thousand vehicles,Statista Market Insights,,632.2,615,593.5,573.2,516.9,610.1,561.9,592.7,967.3,952,925.4,850.1,841.3,880.8,917.3
Turkey,Passenger Cars,,Vehicle Sales,Executive Cars,thousand vehicles,Statista Market Insights,,5.53,5.22,4.78,4.48,3.8,4.15,4.19,4.78,7.61,7.43,7.19,6.68,6.63,6.92,7.19
Turkey,Passenger Cars,,Vehicle Sales,Full-Size Vans,thousand vehicles,Statista Market Insights,,7.84,7.58,7.25,7.06,6.33,7.34,6.92,7.49,12.14,11.9,11.51,10.54,10.48,10.95,11.39
Turkey,Passenger Cars,,Vehicle Sales,Large Cars,thousand vehicles,Statista Market Insights,,36.44,34.44,31.44,29.55,25.4,29.17,28.84,32.06,51.46,50.45,48.89,45.07,44.84,46.85,48.68
Turkey,Passenger Cars,,Vehicle Sales,Luxury Cars,thousand vehicles,Statista Market Insights,,1.1,1.29,1.18,1.07,0.91,1.01,1,1.12,1.8,1.76,1.79,1.7,1.72,1.81,1.81
Turkey,Passenger Cars,,Vehicle Sales,Medium Cars,thousand vehicles,Statista Market Insights,,78.13,75.05,76.5,74.17,65.98,77.03,71.98,77.66,127,124.1,120.7,110.9,110.2,115.3,119.8
Turkey,Passenger Cars,,Vehicle Sales,Mini Cars,thousand vehicles,Statista Market Insights,,70.46,67.26,68.62,66.26,63.67,75.85,66.78,68.58,112.7,112.3,109.3,100.6,99,103.7,108.6
Turkey,Passenger Cars,,Vehicle Sales,Minivans,thousand vehicles,Statista Market Insights,,73.52,69.84,65.08,62.12,54.84,63.49,60.77,66.13,107,105.1,101.8,93.55,92.99,97.17,101.1
Turkey,Passenger Cars,,Vehicle Sales,Pickup Trucks,thousand vehicles,Statista Market Insights,,16.3,16.29,16.42,16.67,15.78,18.81,16.43,17.8,29.96,28.4,27.38,24.65,24.61,25.83,26.79
Turkey,Passenger Cars,,Vehicle Sales,Small Cars,thousand vehicles,Statista Market Insights,,116.8,121.7,122.2,122.5,112.7,136,119.6,119.6,197.2,195.5,190.1,173.2,170.2,178.6,186.8
Turkey,Passenger Cars,,Vehicle Sales,Sports Cars,thousand vehicles,Statista Market Insights,,49.44,48.89,47.71,47.12,42.51,51.47,45.7,46.26,75.95,74.54,72.26,66.09,64.62,67.87,70.92
Turkey,Passenger Cars,,Vehicle Sales,SUVs,thousand vehicles,Statista Market Insights,,176.6,167.5,152.3,142.2,125,145.8,139.6,151.2,244.5,240.6,234.5,217.1,216.1,225.8,234.2
Turkey,Passenger Cars,,Vehicle Sales by make,Ford,percent,Statista Market Insights,,,,,,,,,,,28.53,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Hyundai,percent,Statista Market Insights,,,,,,,,,,,21.14,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Lancia,percent,Statista Market Insights,,,,,,,,,,,8.15,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Peugeot,percent,Statista Market Insights,,,,,,,,,,,17.32,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Porsche,percent,Statista Market Insights,,,,,,,,,,,8.94,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Rolls-Royce,percent,Statista Market Insights,,,,,,,,,,,0.14,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,smart,percent,Statista Market Insights,,,,,,,,,,,7.71,,,,,
Turkey,Passenger Cars,,Vehicle Sales by make,Suzuki,percent,Statista Market Insights,,,,,,,,,,,8.08,,,,,
Turkey,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Turkey,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Turkey,Passenger Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by age,18-24 years,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,11.92,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by age,25-34 years,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,26.68,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by age,35-44 years,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,30.83,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by age,45-54 years,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,20.98,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by age,55-64 years,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,9.59,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by gender,female,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,48.45,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by gender,male,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,51.55,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by income,high income,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,47.15,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by income,low income,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,24.32,,,,,,,,
Turkey,Passenger Cars,,Potential new car buyers - by income,medium income,percent,Statista Market Insights|Statista Consumer Insights Global,,,,,,,,28.53,,,,,,,,
Turkey,Mini Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,15.34,15.41,15.31,15.52,15.71,15.69,16.3,17.61,20.5,20.66,19.83,18.89,18.77,18.87,18.99
Turkey,Mini Cars,,Revenue by make,Total,billion USD (US$),Statista Market Insights,,1.08,1.04,1.05,1.03,1,1.19,1.09,1.21,2.31,2.32,2.17,1.9,1.86,1.96,2.06
Turkey,Mini Cars,,Revenue by make,Hyundai,billion USD (US$),Statista Market Insights,,0.07,0.06,0.13,0.12,0.1,0.12,0.12,0.14,0.26,0.26,0.26,0.23,0.23,0.24,0.25
Turkey,Mini Cars,,Revenue by make,Peugeot,billion USD (US$),Statista Market Insights,,0.24,0.22,0.2,0.19,0.16,0.17,0.19,0.23,0.43,0.42,0.39,0.35,0.34,0.36,0.37
Turkey,Mini Cars,,Revenue by make,smart,billion USD (US$),Statista Market Insights,,0.71,0.68,0.66,0.66,0.68,0.83,0.72,0.77,1.49,1.5,1.4,1.21,1.18,1.24,1.32
Turkey,Mini Cars,,Revenue by make,Suzuki,billion USD (US$),Statista Market Insights,,0.07,0.07,0.06,0.06,0.05,0.06,0.06,0.07,0.14,0.13,0.13,0.11,0.11,0.11,0.12
Turkey,Mini Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,7.94,7.83,14.98,21.09,86.84,93.3,92.65,92.08,90.16,100,100,100,100,100,100
Turkey,Mini Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,92.06,92.17,85.02,78.91,13.16,6.7,7.35,7.92,9.84,0,0,0,0,0,0
Turkey,Mini Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,0.16,0.37,0.58,2.01,6.67,10.43,52.18,51.49,54.29,58.51,58.23,54.84,52.73
Turkey,Mini Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,0.02,0.25,0.44,0.67,0.9,5.64,5.41,5.02,4.56,4.43,4.56,4.6
Turkey,Mini Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,99.84,99.61,31.54,29.56,31.61,32.91,17.93,17.44,17.17,16.91,16.7,16.17,15.4
Turkey,Mini Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,32.53,32.32,36.96,35.77,31.88,24.55,6.87,6.59,,,,,,,
Turkey,Mini Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,67.47,67.68,63.04,64.23,68.12,69.69,93.13,93.41,97.09,94.38,91.81,89.35,86.98,84.7,82.49
Turkey,Mini Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,,5.75,,,2.83,5.5,8.03,10.41,12.67,14.81,16.83
Turkey,Mini Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.08,0.11,0.16,0.24,0.34,0.49,0.68
Turkey,Mini Cars,,Average CO2 emission,Emissions Average,grams CO2 per kilometer,Statista Market Insights,,79.18,81.49,71.23,60.65,62.07,68.9,24.96,16.77,13.74,12.34,11.55,10.67,9.82,9.03,8.36
Turkey,Mini Cars,,Vehicle Sales by make,Total,thousand vehicles,Statista Market Insights,,70.46,67.26,68.62,66.26,63.67,75.85,66.78,68.58,112.7,112.3,109.3,100.6,99,103.7,108.6
Turkey,Mini Cars,,Vehicle Sales by make,Hyundai,thousand vehicles,Statista Market Insights,,5.64,5.32,10.3,9.5,8.13,9.56,8.97,9.41,15.25,15.41,15.44,14.69,14.7,15.32,15.72
Turkey,Mini Cars,,Vehicle Sales by make,Peugeot,thousand vehicles,Statista Market Insights,,11.12,10.48,9.59,9,7.63,8.35,8.41,9.57,15.3,14.95,14.48,13.48,13.37,13.98,14.49
Turkey,Mini Cars,,Vehicle Sales by make,smart,thousand vehicles,Statista Market Insights,,47.54,45.53,43.26,42.56,43.37,52.86,44.5,44.16,73.39,73.36,71.01,64.81,63.31,66.41,70.09
Turkey,Mini Cars,,Vehicle Sales by make,Suzuki,thousand vehicles,Statista Market Insights,,6.15,5.94,5.47,5.2,4.54,5.08,4.91,5.43,8.76,8.6,8.33,7.65,7.63,7.97,8.3
Turkey,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),*Statista,million vehicles,,74.44,79.2,84.99,85.13,81.94,71.96,58.6,63.73,67.16,69.02,74.02,72.38,72.59,73.87,,
Turkey,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),IHS Markit,million vehicles,,,,92,94,94,90,77,77.2,80.35,87.94,,,,,,
Turkey,Mini Cars,,Comparable Estimates - Passenger Cars (Worldwide),LMC Automotive,million vehicles,,,,,95.1,94.1,90.3,77.8,80.7,85.3,93.7,,,,,,
Turkey,Small Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,15.03,15.03,14.77,15.02,15.24,15.26,15.84,17.1,19.93,20.04,19.21,18.29,18.16,18.26,18.39
Turkey,Small Cars,,Revenue by make,Total,billion USD (US$),Statista Market Insights,,1.76,1.83,1.81,1.84,1.72,2.08,1.9,2.05,3.93,3.92,3.65,3.17,3.09,3.26,3.44
Turkey,Small Cars,,Revenue by make,Ford,billion USD (US$),Statista Market Insights,,0.26,0.26,0.25,0.25,0.24,0.27,0.26,0.3,0.58,0.57,0.53,0.46,0.45,0.48,0.5
Turkey,Small Cars,,Revenue by make,Hyundai,billion USD (US$),Statista Market Insights,,0.21,0.2,0.22,0.2,0.17,0.2,0.21,0.25,0.47,0.47,0.44,0.39,0.39,0.41,0.43
Turkey,Small Cars,,Revenue by make,Lancia,billion USD (US$),Statista Market Insights,,0.33,0.36,0.39,0.49,0.52,0.7,0.53,0.45,0.93,0.95,0.89,0.75,0.7,0.75,0.81
Turkey,Small Cars,,Revenue by make,Peugeot,billion USD (US$),Statista Market Insights,,0.56,0.63,0.59,0.55,0.48,0.54,0.54,0.64,1.18,1.17,1.08,0.95,0.94,0.98,1.03
Turkey,Small Cars,,Revenue by make,Suzuki,billion USD (US$),Statista Market Insights,,0.39,0.38,0.36,0.35,0.31,0.36,0.36,0.41,0.77,0.76,0.71,0.62,0.61,0.64,0.67
Turkey,Small Cars,,Connected Cars Share,Connected,percent,Statista Market Insights,,0,10.1,57.18,61.27,91.18,95.64,95.65,95.7,100,100,100,100,100,100,100
Turkey,Small Cars,,Connected Cars Share,Not Connected,percent,Statista Market Insights,,100,89.9,42.82,38.73,8.82,4.36,4.35,4.3,0,0,0,0,0,0,0
Turkey,Small Cars,,Fuel or Drive-Type Share,Electric,percent,Statista Market Insights,,,,,,,,,,1.47,2.19,3.41,5.38,7.75,10.29,13.6
Turkey,Small Cars,,Fuel or Drive-Type Share,Hybrid,percent,Statista Market Insights,,,,,0.04,0.33,0.64,0.99,1.28,2.25,2.76,3.16,3.54,3.88,4.17,4.4
Turkey,Small Cars,,Fuel or Drive-Type Share,Petrol,percent,Statista Market Insights,,100,100,100,99.96,99.67,99.36,99.01,98.72,96.29,95.05,93.43,91.08,88.38,85.54,82.01
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 0,percent,Statista Market Insights,,67.42,54.51,10.5,52.21,54.93,4.36,4.35,4.3,6.23,4.34,3.97,3.7,3.36,2.94,2.52
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 1,percent,Statista Market Insights,,32.58,45.49,89.5,47.79,18,66.04,95.65,95.7,84.29,84.25,82.71,81.03,79.47,78.09,76.71
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 2,percent,Statista Market Insights,,,,,,27.06,29.6,,,9.29,11.14,12.95,14.73,16.4,17.89,19.28
Turkey,Small Cars,,Autonomous Driving Level,Autonomous 3,percent,Statista Market Insights,,,,,,,,,,0.19,0.26,0.37,0.54,0.77,1.08,1.49
