Region,Market,Brand,Chart,Name,Unit,Source,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Worldwide,Passenger Cars,,Average Price,Average,thousand USD (US$),Statista Market Insights,,26.68,26.43,26.47,27,27.21,27.86,29.13,28.59,28.95,29.99,31.36,33.09,34.68,36.35,38.05
Worldwide,Passenger Cars,,Average Price,Executive Cars,thousand USD (US$),Statista Market Insights,,48.46,48.17,49.56,50.77,49.26,49.62,52.88,49.77,50.3,52.96,54.86,58.08,61.34,64.91,68.29
Worldwide,Passenger Cars,,Average Price,Full-Size Vans,thousand USD (US$),Statista Market Insights,,19.84,19.59,18.79,18.69,18.45,18.48,19.1,18.38,18.16,19.52,21.72,23.73,25.85,28.05,30.4
Worldwide,Passenger Cars,,Average Price,Large Cars,thousand USD (US$),Statista Market Insights,,32.01,31.19,31.43,31.88,32.35,32.22,35.95,34.49,35.47,36.28,37.05,38.28,39.42,40.85,42.19
Worldwide,Passenger Cars,,Average Price,Luxury Cars,thousand USD (US$),Statista Market Insights,,90.7,90.4,92.24,91.52,95.17,100.6,115.6,103.4,112.5,114.7,124.1,133.4,135.7,137.6,140.2
Worldwide,Passenger Cars,,Average Price,Medium Cars,thousand USD (US$),Statista Market Insights,,21.28,21.35,20.99,21.39,21.34,21.75,22.31,21.18,21.52,23.04,24.9,27.32,29.72,32.17,34.6
Worldwide,Passenger Cars,,Average Price,Mini Cars,thousand USD (US$),Statista Market Insights,,12.31,12.48,12.63,12.74,12.86,12.93,13.22,12.96,12.97,14.02,15.54,17.34,18.96,20.38,21.81
Worldwide,Passenger Cars,,Average Price,Minivans,thousand USD (US$),Statista Market Insights,,22.19,22.34,22.79,23.27,22.75,24.16,23.26,22.39,22.89,24.62,26.09,27.84,29.45,31.13,32.74
Worldwide,Passenger Cars,,Average Price,Pickup Trucks,thousand USD (US$),Statista Market Insights,,27.93,28.47,28.44,28.36,28.27,28.8,29.47,29.09,29.12,30.03,31.57,33.61,35.77,38.04,40.5
Worldwide,Passenger Cars,,Average Price,Small Cars,thousand USD (US$),Statista Market Insights,,14.77,14.7,14.53,14.81,15.03,15.08,15.15,15.01,15.09,16.14,17.45,18.97,20.29,21.45,22.75
Worldwide,Passenger Cars,,Average Price,Sports Cars,thousand USD (US$),Statista Market Insights,,69.72,70.36,70.49,70.61,69.81,73.54,72.33,76.92,75.32,75.9,80.69,86.26,89.34,91.46,94.49
Worldwide,Passenger Cars,,Average Price,SUVs,thousand USD (US$),Statista Market Insights,,32.84,31.59,31.17,31.63,32.33,32.95,34.55,33.7,33.89,34.59,35.54,36.81,37.96,39.25,40.56
Worldwide,Passenger Cars,,Revenue,Total,billion USD (US$),Statista Market Insights,,"2,087","2,215","2,236","2,196","1,953","1,529","1,740","1,863","2,111","2,340","2,524","2,710","2,902","3,156","3,437"
Worldwide,Passenger Cars,,Revenue,Executive Cars,billion USD (US$),Statista Market Insights,,97.93,94.43,99.65,101.1,76.25,58.98,75.59,102.8,108.8,120.6,132.9,145.4,157.7,172.2,188
Worldwide,Passenger Cars,,Revenue,Full-Size Vans,billion USD (US$),Statista Market Insights,,16.28,16.73,16.64,16.48,16.17,13.75,14.33,15.47,15.82,14.65,18.56,21.47,23.04,24.61,27.17
Worldwide,Passenger Cars,,Revenue,Large Cars,billion USD (US$),Statista Market Insights,,263.4,247.5,241,235.3,202.6,162.5,184.7,233.5,279.3,305.9,324.6,342.5,355.9,374.3,394.4
Worldwide,Passenger Cars,,Revenue,Luxury Cars,billion USD (US$),Statista Market Insights,,24.74,25.16,24.73,23.26,19.72,12.45,16.82,16.04,19.36,23.77,27.76,31.99,38.42,45.88,54.13
Worldwide,Passenger Cars,,Revenue,Medium Cars,billion USD (US$),Statista Market Insights,,375.6,389.7,360.3,341.7,275,202.5,210,227.2,254.5,303.3,340.6,382.9,425.3,477.7,531.6
Worldwide,Passenger Cars,,Revenue,Mini Cars,billion USD (US$),Statista Market Insights,,45.22,46.34,45.76,43.99,44.96,35.93,42.35,41.01,46.05,53.34,61.14,69.97,80.41,92.3,105.8
Worldwide,Passenger Cars,,Revenue,Minivans,billion USD (US$),Statista Market Insights,,137.4,153.2,144.5,128,102.6,86.2,102.7,118.4,134.2,150,164.8,180.4,200.3,223.1,248.6
Worldwide,Passenger Cars,,Revenue,Pickup Trucks,billion USD (US$),Statista Market Insights,,120.5,127.7,128.7,133.3,124,121.6,121,114.5,123.2,129.3,140.9,151.5,159,167.9,180.9
Worldwide,Passenger Cars,,Revenue,Small Cars,billion USD (US$),Statista Market Insights,,147.8,147.9,146.7,142.4,133.8,93.93,105.3,108.1,119.9,138.2,152.5,169.3,189,211.6,236.6
Worldwide,Passenger Cars,,Revenue,Sports Cars,billion USD (US$),Statista Market Insights,,68.09,67.76,61.15,57.24,56.18,49.02,61.49,76.36,84.07,89.15,98.17,106.5,114.9,126.4,139.7
Worldwide,Passenger Cars,,Revenue,SUVs,billion USD (US$),Statista Market Insights,,789.8,898.7,966.7,972.6,902.1,692.6,805.2,809.8,926.3,"1,012","1,062","1,108","1,158","1,240","1,330"
Worldwide,Passenger Cars,,Revenue by make,BMW,percent,Statista Market Insights,,,,,,,,,,,4.59,,,,,
Worldwide,Passenger Cars,,Revenue by make,Chevrolet,percent,Statista Market Insights,,,,,,,,,,,4.2,,,,,
Worldwide,Passenger Cars,,Revenue by make,Ford,percent,Statista Market Insights,,,,,,,,,,,6.86,,,,,
Worldwide,Passenger Cars,,Revenue by make,Honda,percent,Statista Market Insights,,,,,,,,,,,5.21,,,,,
Worldwide,Passenger Cars,,Revenue by make,Hyundai,percent,Statista Market Insights,,,,,,,,,,,4.42,,,,,
Worldwide,Passenger Cars,,Revenue by make,Mercedes-Benz,percent,Statista Market Insights,,,,,,,,,,,4.74,,,,,
Worldwide,Passenger Cars,,Revenue by make,Nissan,percent,Statista Market Insights,,,,,,,,,,,5.03,,,,,
Worldwide,Passenger Cars,,Revenue by make,Other,percent,Statista Market Insights,,,,,,,,,,,43.42,,,,,
